Unnamed: 0,Brand,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life
1212,Dell,64999,Intel Core i3 (13th Gen),Intel,Not Expandable,8 GB LP, LPDDR5 RAM, 1.6 Ghz Processor,LCD,14,Iris Xe,Intel,1024 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life
1213,Lenovo,99000,Intel Core i5 (11th Gen),Intel, 8 GB Expandable,8 GB LP, LPDDR4X RAM , 1.4 Ghz Processor,LED,13.3,UHD,Intel,1024 GB SSD Storage,No HDD,65, Upto 10.4 Hrs Battery Life
1214,HP,195990,Intel Core Ultra 7,Intel,Not Expandable,32 GB LP, LPDDR5X RAM, 4.8 Ghz Processor,LED,16,Arc,Intel,1024 GB SSD Storage,No HDD,140,140W Adapter
1215,ASUS,76999,Intel Core i7 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.3 Ghz Processor,LCD,14,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,1024 GB SSD Storage,No HDD,90, Upto 6 Hrs Battery Life
1216,ASUS,68900,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB , DDR4 RAM, 2.5 Ghz Processor,LCD,16,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,120,120W Adapter
1217,Lenovo,449990,Intel Core i9 (13th Gen),Intel, 32 GB Expandable,32 GB , DDR5 RAM , 2.2 Ghz Processor,LCD,16,"GeForce RTX 4090 GPU, 16 GB",NVIDIA,2048 GB SSD Storage,No HDD,330, Upto 6.5 Hrs Battery Life
1218,Dell,35490,Intel Core i3 (12th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,no,
1219,ASUS,189990,Intel Core Ultra 7,Intel, 16 GB Expandable,16 GB LP, LPDDR5X RAM , 1.4 Ghz Processor,LCD,16,"GeForce RTX 4070 GPU, 8 GB",NVIDIA,1024 GB SSD Storage,No HDD,200,200W Adapter
1220,ASUS,346935,Intel Core i9 (14th Gen),Intel, 64 GB Expandable,32 GB , DDR5 RAM , 2.2 Ghz Processor,LCD,18,"GeForce RTX 4090 GPU, 16 GB",NVIDIA,2048 GB SSD Storage,No HDD,330,330W Adapter
1221,ASUS,79800,Intel Core i5 (12th Gen),Intel, 32 GB Expandable,16 GB , DDR4 RAM , 2.0 Ghz Processor,LCD,16,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,120, Upto 5 Hrs Battery Life
1222,HP,64990,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,8 GB , DDR4 RAM, 2.3 Ghz Processor,LCD,13.3,Radeon,AMD,512 GB SSD Storage,No HDD,65,65W Adapter
1223,Dell,102890,Intel Core i7 (13th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 4.7 Ghz Processor,LCD,15.6,"GeForce RTX 3050 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life
1225,HP,58900,AMD Hexa-Core Ryzen 5,AMD,Not Expandable,8 GB , DDR5 RAM, 4.2 Ghz Processor,LCD,15.6,Radeon,AMD,512 GB SSD Storage,No HDD,150,150W Adapter
1226,HP,117599,AMD Octa-Core Ryzen 7,AMD,Not Expandable,16 GB , DDR5 RAM, 4.8 Ghz Processor,LCD,16.1,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,230,230W Adapter
1227,MSI,94990,AMD Octa-Core Ryzen 7,AMD, 64 GB Expandable,16 GB , DDR5 RAM , 3.1 Ghz Processor,LCD,15.6,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,1024 GB SSD Storage,No HDD,200, Upto 3 Hrs Battery Life
1229,Lenovo,48990,Intel Core i5 (11th Gen),Intel, 16 GB Expandable,16 GB , DDR4 RAM , 2.4 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,65, Upto 7 Hrs Battery Life
1230,MSI,234990,Intel Core i7 (13th Gen),Intel, 64 GB Expandable,32 GB , DDR5 RAM , 1.5 Ghz Processor,LCD,16,"GeForce RTX 4070 GPU, 8 GB",NVIDIA,2048 GB SSD Storage,No HDD,280,280W Adapter
1231,HP,51750,AMD Hexa-Core Ryzen 5,AMD, 16 GB Expandable,8 GB , DDR4 RAM , 3.3 Ghz Processor,LCD,15.6,"GeForce GTX 1650 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,no,
1232,Dell,80390,Intel Core i5 (13th Gen),Intel, 16 GB Expandable,8 GB LP, LPDDR5 RAM , 3.4 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,no,Upto 6 Hrs Battery Life
1233,HP,97800,Intel Core i7 (13th Gen),Intel,Not Expandable,16 GB LP, LPDDR5X RAM, 4.8 Ghz Processor,LED,14,Iris Xe,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter
1234,HP,96900,Intel Core i5 (12th Gen),Intel, 16 GB Expandable,16 GB , DDR5 RAM , 4.2 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,no,Upto 13 Hrs Battery Life
1235,ASUS,75000,Intel Core i5 (12th Gen),Intel, 32 GB Expandable,16 GB , DDR4 RAM , 2.0 Ghz Processor,LCD,16,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,120,120W Adapter
1236,HP,125700,Intel Core i7 (12th Gen),Intel, 16 GB Expandable,16 GB , DDR5 RAM , 4.2 Ghz Processor,LCD,14,Integrated,Intel,1024 GB SSD Storage,No HDD,no,Upto 13 Hrs Battery Life
1237,ASUS,42990,AMD Quad-Core Ryzen 5,AMD,Not Expandable,16 GB LP, LPDDR5 RAM, 2.8 Ghz Processor,LCD,14,Radeon,AMD,512 GB SSD Storage,No HDD,45,45W Adapter
1238,Lenovo,34100,AMD Quad-Core Ryzen 3,AMD,Not Expandable,8 GB LP, LPDDR5 RAM, 2.4 Ghz Processor,LCD,15.6,Radeon 610M,AMD,512 GB SSD Storage,No HDD,65,65W Adapter
1239,MSI,79990,Intel Core i5 (12th Gen),Intel, 16 GB Expandable,16 GB LP, LPDDR5 RAM , 3.3 Ghz Processor,LCD,14,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,no,Upto 10 Hrs Battery Life
1240,Lenovo,88990,AMD Octa-Core Ryzen 7,AMD, 16 GB Expandable,16 GB LP, LPDDR5 RAM , 3.1 Ghz Processor,LCD,16,"GeForce RTX 3050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135, Upto 8 Hrs Battery Life
1241,ASUS,47799,Intel Core i5 (12th Gen),Intel, 12 GB Expandable,8 GB , DDR4 RAM , 1.3 Ghz Processor,LCD,15.6,Iris Xe,Intel,512 GB SSD Storage,No HDD,45,45W Adapter
1242,HP,97499,Intel Core i7 (11th Gen),Intel, 8 GB Expandable,8 GB , DDR4 RAM , 4.7 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
